
2023/02/12 (01:58:46) | ===> btop++ v.1.2.13
2023/02/12 (01:58:46) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (02:02:25) | ===> btop++ v.1.2.13
2023/02/12 (02:02:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (02:03:19) | ===> btop++ v.1.2.13
2023/02/12 (02:03:19) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (02:03:26) | ===> btop++ v.1.2.13
2023/02/12 (02:03:26) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (02:03:32) | ===> btop++ v.1.2.13
2023/02/12 (02:03:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (03:00:38) | ===> btop++ v.1.2.13
2023/02/12 (03:00:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (03:48:49) | ===> btop++ v.1.2.13
2023/02/12 (03:48:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (03:49:15) | ===> btop++ v.1.2.13
2023/02/12 (03:49:15) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (04:09:12) | ===> btop++ v.1.2.13
2023/02/12 (04:09:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (04:09:18) | ===> btop++ v.1.2.13
2023/02/12 (04:09:18) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (04:10:01) | ===> btop++ v.1.2.13
2023/02/12 (04:10:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (04:10:11) | ===> btop++ v.1.2.13
2023/02/12 (04:10:11) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (04:40:51) | ===> btop++ v.1.2.13
2023/02/12 (04:40:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/02/12 (19:35:45) | ===> btop++ v.1.2.13
2023/02/12 (19:35:45) | INFO: Logger set to INFO
2023/02/12 (19:35:46) | INFO: Logger set to DEBUG

2023/03/26 (20:00:36) | ===> btop++ v.1.2.13
2023/03/26 (20:00:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/03/26 (21:03:25) | ===> btop++ v.1.2.13
2023/03/26 (21:03:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
